source,target,type
0,1,-
0,25,+
0,45,-
1,0,-
1,11,+
1,21,+
1,31,+
1,33,-
1,36,+
1,37,+
1,38,-
1,39,+
1,40,+
1,41,+
1,45,-
1,50,+
1,58,+
2,58,+
3,9,+
3,16,+
3,21,+
3,28,+
3,29,+
3,39,+
3,45,-
3,58,+
36,39,+
39,36,+
36,21,+
21,36,+
36,58,+
58,36,+
36,45,-
45,36,-
36,11,+
11,36,+
37,39,+
39,37,+
37,21,+
21,37,+
37,21,+
21,37,+
37,7,-
7,37,-
37,11,+
11,37,+
37,45,-
45,37,-
38,1,-
1,38,-
38,40,-
40,38,-
38,41,-
41,38,-
38,45,+
45,38,+
38,39,-
39,38,-
40,39,+
39,40,+
40,31,+
31,40,+
40,1,+
1,40,+
40,38,-
38,40,-
40,45,-
45,40,-
40,41,+
41,40,+
41,45,-
45,41,-
41,47,+
47,41,+
42,39,-
39,42,-
42,21,-
21,42,-
42,21,-
21,42,-
42,11,-
11,42,-
42,45,-
45,42,-
43,45,-
43,43,-
43,44,+
44,43,+
43,45,-
45,43,-
46,39,-
39,46,-
46,11,-
11,46,-
47,39,+
39,47,+
47,21,+
21,47,+
47,21,+
21,47,+
42,11,+
11,42,+
47,41,+
41,47,+
47,45,-
45,47,-
48,31,+
31,48,+
49,39,-
39,49,-
49,21,-
21,49,-
49,21,-
21,49,-
49,11,-
11,49,-
49,18,+
18,49,+
50,21,+
21,50,+
50,51,+
51,50,+
50,52,+
52,50,+
50,53,+
53,50,+
50,54,+
54,50,+
50,54,+
54,50,+
50,55,+
55,50,+
50,57,+
57,50,+
51,21,+
21,51,+
50,51,+
51,50,+
51,52,+
52,51,+
51,53,+
53,51,+
51,54,+
54,51,+
51,54,+
54,51,+
51,55,+
55,51,+
51,57,+
57,51,+
52,21,+
21,52,+
50,52,+
52,50,+
52,53,+
53,52,+
52,54,+
54,52,+
52,54,+
54,52,+
52,55,+
55,52,+
52,57,+
57,52,+
